ICD3;Name_deutsch;Name_englisch;Cluster
A83;Virusenzephalitis, durch Moskitos [Stechmücken] übertragen;Mosquito-borne viral encephalitis;
A84;Virusenzephalitis, durch Zecken übertragen;Tick-borne viral encephalitis;0
A85;Sonstige Virusenzephalitis, anderenorts nicht klassifiziert;Other viral encephalitis, not elsewhere classified;
A86;Virusenzephalitis, nicht näher bezeichnet;Unspecified viral encephalitis;3
A87;Virusmeningitis;Viral meningitis;4
A88;Sonstige Virusinfektionen des Zentralnervensystems, anderenorts nicht klassifiziert;Other viral infections of central nervous system, not elsewhere classified;4
A89;Virusinfektion des Zentralnervensystems, nicht näher bezeichnet;Unspecified viral infection of central nervous system;
A90;Dengue-Fieber [Klassische Dengue];Dengue fever [classical dengue];
A91;Hämorrhagisches Dengue-Fieber;Dengue hemorrhagic fever;
A92;Sonstige durch Moskitos [Stechmücken] übertragene Viruskrankheiten;Other mosquito-borne viral fevers;
A93;Sonstige durch Arthropoden übertragene Viruskrankheiten, anderenorts nicht klassifiziert;Other arthropod-borne viral fevers, not elsewhere classified;
A94;Durch Arthropoden übertragene Viruskrankheit, nicht näher bezeichnet;Unspecified arthropod-borne viral fever;
A95;Gelbfieber;Yellow fever;
A96;Hämorrhagisches Fieber durch Arenaviren;Arenaviral hemorrhagic fever;
A98;Sonstige hämorrhagische Viruskrankheiten, anderenorts nicht klassifiziert;Other viral hemorrhagic fevers, not elsewhere classified;
A99;Nicht näher bezeichnete hämorrhagische Viruskrankheit;Unspecified viral hemorrhagic fever;
B00;Infektionen durch Herpesviren [Herpes simplex];Herpesviral [herpes simplex] infections;0
B01;Varizellen [Windpocken];Varicella [chickenpox];1
B02;Zoster [Herpes zoster];Zoster [herpes zoster];1
B03;Pocken;Smallpox;
B04;Affenpocken;Monkeypox;
B05;Masern;Measles;
B06;Röteln [Rubeola] [Rubella];Rubella [German measles];4
B07;Viruswarzen;Viral warts;0
B08;Sonstige Virusinfektionen, die durch Haut- und Schleimhautläsionen gekennzeichnet sind, anderenorts nicht klassifiziert;Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified;0
B09;Nicht näher bezeichnete Virusinfektion, die durch Haut- und Schleimhautläsionen gekennzeichnet ist;Unspecified viral infection characterized by skin and mucous membrane lesions;0
B10;;Other human herpesviruses;
B15;Akute Virushepatitis A;Acute hepatitis A;4
B16;Akute Virushepatitis B;Acute hepatitis B;4
B17;Sonstige akute Virushepatitis;Other acute viral hepatitis;4
B18;Chronische Virushepatitis;Chronic viral hepatitis;4
B19;Nicht näher bezeichnete Virushepatitis;Unspecified viral hepatitis;4
B20;Infektiöse und parasitäre Krankheiten infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];Human immunodeficiency virus [HIV] disease;4
B21;Bösartige Neubildungen infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms;
B22;Sonstige näher bezeichnete Krankheiten infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];Human immunodeficiency virus [HIV] disease resulting in other specified diseases;4
B23;Sonstige Krankheitszustände infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];Human immunodeficiency virus [HIV] disease resulting in other conditions;4
B24;Nicht näher bezeichnete HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];Unspecified human immunodeficiency virus [HIV] disease;4
B25;Zytomegalie;Cytomegaloviral disease;4
B26;Mumps;Mumps;4
B27;Infektiöse Mononukleose;Infectious mononucleosis;4
B30;Viruskonjunktivitis;Viral conjunctivitis;4
B33;Sonstige Viruskrankheiten, anderenorts nicht klassifiziert;Other viral diseases, not elsewhere classified;4
B34;Viruskrankheit nicht näher bezeichneter Lokalisation;Viral infection of unspecified site;0
B35;Dermatophytose [Tinea];Dermatophytosis;4
B36;Sonstige oberflächliche Mykosen;Other superficial mycoses;0
B37;Kandidose;Candidiasis;5
B38;Kokzidioidomykose;Coccidioidomycosis;
B39;Histoplasmose;Histoplasmosis;3
B40;Blastomykose;Blastomycosis;
B41;Parakokzidioidomykose;Paracoccidioidomycosis;
B42;Sporotrichose;Sporotrichosis;
B43;Chromomykose und chromomykotischer Abszess;Chromomycosis and pheomycotic abscess;3
B44;Aspergillose;Aspergillosis;3
B45;Kryptokokkose;Cryptococcosis;
B46;Zygomykose;Zygomycosis;3
B47;Myzetom;Mycetoma;
B48;Sonstige Mykosen, anderenorts nicht klassifiziert;Other mycoses, not elsewhere classified;4
B49;Nicht näher bezeichnete Mykose;Unspecified mycosis;5
B50;Malaria tropica durch Plasmodium falciparum;Plasmodium falciparum malaria;4
B51;Malaria tertiana durch Plasmodium vivax;Plasmodium vivax malaria;
B52;Malaria quartana durch Plasmodium malariae;Plasmodium malariae malaria;
B53;Sonstige parasitologisch bestätigte Malaria;Other specified malaria;
B54;Malaria, nicht näher bezeichnet;Unspecified malaria;3
B55;Leishmaniose;Leishmaniasis;
B56;Afrikanische Trypanosomiasis;African trypanosomiasis;
B57;Chagas-Krankheit;Chagas' disease;
B58;Toxoplasmose;Toxoplasmosis;4
B59;Pneumozystose (J17.3*);Pneumocystosis;
B60;Sonstige Protozoenkrankheiten, anderenorts nicht klassifiziert;Other protozoal diseases, not elsewhere classified;
B64;Nicht näher bezeichnete Protozoenkrankheit;Unspecified protozoal disease;
B65;Schistosomiasis [Bilharziose];Schistosomiasis [bilharziasis];
B66;Befall durch sonstige Trematoden [Egel];Other fluke infections;
B67;Echinokokkose;Echinococcosis;4
B68;Taeniasis;Taeniasis;
B69;Zystizerkose;Cysticercosis;
B70;Diphyllobothriose und Sparganose;Diphyllobothriasis and sparganosis;
B71;Befall durch sonstige Zestoden;Other cestode infections;
B72;Drakunkulose;Dracunculiasis;
B73;Onchozerkose;Onchocerciasis;
B74;Filariose;Filariasis;
B75;Trichinellose;Trichinellosis;
B76;Hakenwurm-Krankheit;Hookworm diseases;4
B77;Askaridose;Ascariasis;4
B78;Strongyloidiasis;Strongyloidiasis;3
B79;Trichuriasis;Trichuriasis;
B80;Enterobiasis;Enterobiasis;0
B81;Sonstige intestinale Helminthosen, anderenorts nicht klassifiziert;Other intestinal helminthiases, not elsewhere classified;0
B82;Nicht näher bezeichneter intestinaler Parasitismus;Unspecified intestinal parasitism;4
B83;Sonstige Helminthosen;Other helminthiases;0
B85;Pedikulose [Läusebefall] und Phthiriasis [Filzläusebefall];Pediculosis and phthiriasis;0
B86;Skabies;Scabies;4
B87;Myiasis;Myiasis;3
B88;Sonstiger Parasitenbefall der Haut;Other infestations;4
B89;Nicht näher bezeichnete parasitäre Krankheit;Unspecified parasitic disease;
B90;Folgezustände der Tuberkulose;Sequelae of tuberculosis;4
B91;Folgezustände der Poliomyelitis;Sequelae of poliomyelitis;4
B92;Folgezustände der Lepra;Sequelae of leprosy;
B94;Folgezustände sonstiger und nicht näher bezeichneter infektiöser und parasitärer Krankheiten;Sequelae of other and unspecified infectious and parasitic diseases;4
B95;Streptokokken und Staphylokokken als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind;Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere;1
B96;Sonstige näher bezeichnete Bakterien als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind;Other bacterial agents as the cause of diseases classified elsewhere;1
B97;Viren als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind;Viral agents as the cause of diseases classified elsewhere;4
B98;Sonstige näher bezeichnete infektiöse Erreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind;Other specified infectious organisms as the cause of diseases classified elsewhere;3
B99;Sonstige und nicht näher bezeichnete Infektionskrankheiten;Other and unspecified infectious diseases;0
C00;Bösartige Neubildung der Lippe;Malignant neoplasm of lip;4
C01;Bösartige Neubildung des Zungengrundes;Malignant neoplasm of base of tongue;1
C02;Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile der Zunge;Malignant neoplasm of other and unspecified parts of tongue;1
C03;Bösartige Neubildung des Zahnfleisches;Malignant neoplasm of gum;4
C04;Bösartige Neubildung des Mundbodens;Malignant neoplasm of floor of mouth;4
C05;Bösartige Neubildung des Gaumens;Malignant neoplasm of palate;4
C06;Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile des Mundes;Malignant neoplasm of other and unspecified parts of mouth;4
C07;Bösartige Neubildung der Parotis;Malignant neoplasm of parotid gland;4
C08;Bösartige Neubildung sonstiger und nicht näher bezeichneter großer Speicheldrüsen;Malignant neoplasm of other and unspecified major salivary glands;1
C09;Bösartige Neubildung der Tonsille;Malignant neoplasm of tonsil;4
C10;Bösartige Neubildung des Oropharynx;Malignant neoplasm of oropharynx;4
C11;Bösartige Neubildung des Nasopharynx;Malignant neoplasm of nasopharynx;4
C12;Bösartige Neubildung des Recessus piriformis;Malignant neoplasm of pyriform sinus;
C13;Bösartige Neubildung des Hypopharynx;Malignant neoplasm of hypopharynx;1
C14;Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen der Lippe, der Mundhöhle und des Pharynx;Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx;4
C15;Bösartige Neubildung des Ösophagus;Malignant neoplasm of esophagus;4
C16;Bösartige Neubildung des Magens;Malignant neoplasm of stomach;4
C17;Bösartige Neubildung des Dünndarmes;Malignant neoplasm of small intestine;4
C18;Bösartige Neubildung des Kolons;Malignant neoplasm of colon;4
C19;Bösartige Neubildung am Rektosigmoid, Übergang;Malignant neoplasm of rectosigmoid junction;4
C20;Bösartige Neubildung des Rektums;Malignant neoplasm of rectum;4
C21;Bösartige Neubildung des Anus und des Analkanals;Malignant neoplasm of anus and anal canal;4
C22;Bösartige Neubildung der Leber und der intrahepatischen Gallengänge;Malignant neoplasm of liver and intrahepatic bile ducts;4
C23;Bösartige Neubildung der Gallenblase;Malignant neoplasm of gallbladder;4
C24;Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile der Gallenwege;Malignant neoplasm of other and unspecified parts of biliary tract;4
C25;Bösartige Neubildung des Pankreas;Malignant neoplasm of pancreas;4
C26;Bösartige Neubildung sonstiger und ungenau bezeichneter Verdauungsorgane;Malignant neoplasm of other and ill-defined digestive organs;4
C30;Bösartige Neubildung der Nasenhöhle und des Mittelohres;Malignant neoplasm of nasal cavity and middle ear;4
C31;Bösartige Neubildung der Nasennebenhöhlen;Malignant neoplasm of accessory sinuses;4
C32;Bösartige Neubildung des Larynx;Malignant neoplasm of larynx;4
C33;Bösartige Neubildung der Trachea;Malignant neoplasm of trachea;
C34;Bösartige Neubildung der Bronchien und der Lunge;Malignant neoplasm of bronchus and lung;4
C37;Bösartige Neubildung des Thymus;Malignant neoplasm of thymus;0
C38;Bösartige Neubildung des Herzens, des Mediastinums und der Pleura;Malignant neoplasm of heart, mediastinum and pleura;4
C39;Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen des Atmungssystems und sonstiger intrathorakaler Organe;Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs;3
C40;Bösartige Neubildung des Knochens und des Gelenkknorpels der Extremitäten;Malignant neoplasm of bone and articular cartilage of limbs;4
C41;Bösartige Neubildung des Knochens und des Gelenkknorpels sonstiger und nicht näher bezeichneter Lokalisationen;Malignant neoplasm of bone and articular cartilage of other and unspecified sites;4
C43;Bösartiges Melanom der Haut;Malignant melanoma of skin;4
C44;Sonstige bösartige Neubildungen der Haut;Other and unspecified malignant neoplasm of skin;1
C45;Mesotheliom;Mesothelioma;4
C46;Kaposi-Sarkom [Sarcoma idiopathicum multiplex haemorrhagicum];Kaposi's sarcoma;
C47;Bösartige Neubildung der peripheren Nerven und des autonomen Nervensystems;Malignant neoplasm of peripheral nerves and autonomic nervous system;4
C48;Bösartige Neubildung des Retroperitoneums und des Peritoneums;Malignant neoplasm of retroperitoneum and peritoneum;4
C49;Bösartige Neubildung sonstigen Bindegewebes und anderer Weichteilgewebe;Malignant neoplasm of other connective and soft tissue;4
C4A;;Merkel cell carcinoma;
C50;Bösartige Neubildung der Brustdrüse [Mamma];Malignant neoplasm of breast;4
C51;Bösartige Neubildung der Vulva;Malignant neoplasm of vulva;4
C52;Bösartige Neubildung der Vagina;Malignant neoplasm of vagina;3
C53;Bösartige Neubildung der Cervix uteri;Malignant neoplasm of cervix uteri;4
C54;Bösartige Neubildung des Corpus uteri;Malignant neoplasm of corpus uteri;4
C55;Bösartige Neubildung des Uterus, Teil nicht näher bezeichnet;Malignant neoplasm of uterus, part unspecified;4
C56;Bösartige Neubildung des Ovars;Malignant neoplasm of ovary;4
C57;Bösartige Neubildung sonstiger und nicht näher bezeichneter weiblicher Genitalorgane;Malignant neoplasm of other and unspecified female genital organs;4
C58;Bösartige Neubildung der Plazenta;Malignant neoplasm of placenta;0
C60;Bösartige Neubildung des Penis;Malignant neoplasm of penis;4
C61;Bösartige Neubildung der Prostata;Malignant neoplasm of prostate;1
C62;Bösartige Neubildung des Hodens;Malignant neoplasm of testis;0
C63;Bösartige Neubildung sonstiger und nicht näher bezeichneter männlicher Genitalorgane;Malignant neoplasm of other and unspecified male genital organs;4
C64;Bösartige Neubildung der Niere, ausgenommen Nierenbecken;Malignant neoplasm of kidney, except renal pelvis;4
C65;Bösartige Neubildung des Nierenbeckens;Malignant neoplasm of renal pelvis;4
C66;Bösartige Neubildung des Ureters;Malignant neoplasm of ureter;4
C67;Bösartige Neubildung der Harnblase;Malignant neoplasm of bladder;1
C68;Bösartige Neubildung sonstiger und nicht näher bezeichneter Harnorgane;Malignant neoplasm of other and unspecified urinary organs;1
C69;Bösartige Neubildung des Auges und der Augenanhangsgebilde;Malignant neoplasm of eye and adnexa;4
C70;Bösartige Neubildung der Meningen;Malignant neoplasm of meninges;3
C71;Bösartige Neubildung des Gehirns;Malignant neoplasm of brain;4
C72;Bösartige Neubildung des Rückenmarkes, der Hirnnerven und anderer Teiledes Zentralnervensystems;Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system;
C73;Bösartige Neubildung der Schilddrüse;Malignant neoplasm of thyroid gland;4
C74;Bösartige Neubildung der Nebenniere;Malignant neoplasm of adrenal gland;4
C75;Bösartige Neubildung sonstiger endokriner Drüsen und verwandter Strukturen;Malignant neoplasm of other endocrine glands and related structures;4
C76;Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen;Malignant neoplasm of other and ill-defined sites;4
C77;Sekundäre und nicht näher bezeichnete bösartige Neubildung der Lymphknoten;Secondary and unspecified malignant neoplasm of lymph nodes;4
C78;Sekundäre bösartige Neubildung der Atmungs- und Verdauungsorgane;Secondary malignant neoplasm of respiratory and digestive organs;4
C79;Sekundäre bösartige Neubildung an sonstigen und nicht näher bezeichneten Lokalisationen;Secondary malignant neoplasm of other and unspecified sites;4
C7A;;Malignant neuroendocrine tumors;
C7B;;Secondary neuroendocrine tumors;
C80;Bösartige Neubildung ohne Angabe der Lokalisation;Malignant neoplasm without specification of site;4
C81;Hodgkin-Lymphom [Lymphogranulomatose];Hodgkin lymphoma;4
C82;Follikuläres Lymphom;Follicular lymphoma;4
C83;Nicht follikuläres Lymphom;Non-follicular lymphoma;4
C84;Reifzellige T/NK-Zell-Lymphome;Mature T/NK-cell lymphomas;4
C85;Sonstige und nicht näher bezeichnete Typen des Non-Hodgkin-Lymphoms;Other specified and unspecified types of non-Hodgkin lymphoma;4
C86;Weitere spezifizierte T/NK-Zell-Lymphome;Other specified types of T/NK-cell lymphoma;
C88;Bösartige immunproliferative Krankheiten;Malignant immunoproliferative diseases and certain other B-cell lymphomas;4
C90;Plasmozytom und bösartige Plasmazellen-Neubildungen;Multiple myeloma and malignant plasma cell neoplasms;4
C91;Lymphatische Leukämie;Lymphoid leukemia;4
C92;Myeloische Leukämie;Myeloid leukemia;4
C93;Monozytenleukämie;Monocytic leukemia;1
C94;Sonstige Leukämien näher bezeichneten Zelltyps;Other leukemias of specified cell type;0
C95;Leukämie nicht näher bezeichneten Zelltyps;Leukemia of unspecified cell type;4
C96;Sonstige und nicht näher bezeichnete bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes;Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue;4
C97;Bösartige Neubildungen als Primärtumoren an mehreren Lokalisationen;Malignant neoplasms of independent (primary) multiple sites;4
D00;Carcinoma in situ der Mundhöhle, des Ösophagus und des Magens;Carcinoma in situ of oral cavity, esophagus and stomach;4
D01;Carcinoma in situ sonstiger und nicht näher bezeichneter Verdauungsorgane;Carcinoma in situ of other and unspecified digestive organs;3
D02;Carcinoma in situ des Mittelohres und des Atmungssystems;Carcinoma in situ of middle ear and respiratory system;1
D03;Melanoma in situ;Melanoma in situ;0
D04;Carcinoma in situ der Haut;Carcinoma in situ of skin;0
D05;Carcinoma in situ der Brustdrüse [Mamma];Carcinoma in situ of breast;4
D06;Carcinoma in situ der Cervix uteri;Carcinoma in situ of cervix uteri;0
D07;Carcinoma in situ sonstiger und nicht näher bezeichneter Genitalorgane;Carcinoma in situ of other and unspecified genital organs;0
D09;Carcinoma in situ sonstiger und nicht näher bezeichneter Lokalisationen;Carcinoma in situ of other and unspecified sites;1
D10;Gutartige Neubildung des Mundes und des Pharynx;Benign neoplasm of mouth and pharynx;4
D11;Gutartige Neubildung der großen Speicheldrüsen;Benign neoplasm of major salivary glands;1
D12;Gutartige Neubildung des Kolons, des Rektums, des Analkanals und des Anus;Benign neoplasm of colon, rectum, anus and anal canal;3
D13;Gutartige Neubildung sonstiger und ungenau bezeichneter Teile des Verdauungssystems;Benign neoplasm of other and ill-defined parts of digestive system;3
D14;Gutartige Neubildung des Mittelohres und des Atmungssystems;Benign neoplasm of middle ear and respiratory system;4
D15;Gutartige Neubildung sonstiger und nicht näher bezeichneter intrathorakaler Organe;Benign neoplasm of other and unspecified intrathoracic organs;2
D16;Gutartige Neubildung des Knochens und des Gelenkknorpels;Benign neoplasm of bone and articular cartilage;4
D17;Gutartige Neubildung des Fettgewebes;Benign lipomatous neoplasm;3
D18;Hämangiom und Lymphangiom;Hemangioma and lymphangioma, any site;3
D19;Gutartige Neubildung des mesothelialen Gewebes;Benign neoplasm of mesothelial tissue;
D20;Gutartige Neubildung des Weichteilgewebes des Retroperitoneums und des Peritoneums;Benign neoplasm of soft tissue of retroperitoneum and peritoneum;4
D21;Sonstige gutartige Neubildungen des Bindegewebes und anderer Weichteilgewebe;Other benign neoplasms of connective and other soft tissue;3
D22;Melanozytennävus;Melanocytic nevi;3
D23;Sonstige gutartige Neubildungen der Haut;Other benign neoplasms of skin;3
D24;Gutartige Neubildung der Brustdrüse [Mamma];Benign neoplasm of breast;3
D25;Leiomyom des Uterus;Leiomyoma of uterus;3
D26;Sonstige gutartige Neubildungen des Uterus;Other benign neoplasms of uterus;4
D27;Gutartige Neubildung des Ovars;Benign neoplasm of ovary;5
D28;Gutartige Neubildung sonstiger und nicht näher bezeichneter weiblicher Genitalorgane;Benign neoplasm of other and unspecified female genital organs;4
D29;Gutartige Neubildung der männlichen Genitalorgane;Benign neoplasm of male genital organs;1
D30;Gutartige Neubildung der Harnorgane;Benign neoplasm of urinary organs;4
D31;Gutartige Neubildung des Auges und der Augenanhangsgebilde;Benign neoplasm of eye and adnexa;4
D32;Gutartige Neubildung der Meningen;Benign neoplasm of meninges;4
D33;Gutartige Neubildung des Gehirns und anderer Teile des Zentralnervensystems;Benign neoplasm of brain and other parts of central nervous system;4
D34;Gutartige Neubildung der Schilddrüse;Benign neoplasm of thyroid gland;3
D35;Gutartige Neubildung sonstiger und nicht näher bezeichneter endokriner Drüsen;Benign neoplasm of other and unspecified endocrine glands;4
D36;Gutartige Neubildung an sonstigen und nicht näher bezeichneten Lokalisationen;Benign neoplasm of other and unspecified sites;3
D37;Neubildung unsicheren oder unbekannten Verhaltens der Mundhöhle und derVerdauungsorgane;Neoplasm of uncertain behavior of oral cavity and digestive organs;4
D38;Neubildung unsicheren oder unbekannten Verhaltens des Mittelohres, der Atmungsorgane und der intrathorakalen Organe;Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs;1
D39;Neubildung unsicheren oder unbekannten Verhaltens der weiblichen Genitalorgane;Neoplasm of uncertain behavior of female genital organs;5
D3A;;Benign neuroendocrine tumors;
D40;Neubildung unsicheren oder unbekannten Verhaltens der männlichen Genitalorgane;Neoplasm of uncertain behavior of male genital organs;1
D41;Neubildung unsicheren oder unbekannten Verhaltens der Harnorgane;Neoplasm of uncertain behavior of urinary organs;1
D42;Neubildung unsicheren oder unbekannten Verhaltens der Meningen;Neoplasm of uncertain behavior of meninges;4
D43;Neubildung unsicheren oder unbekannten Verhaltens des Gehirns und des Zentralnervensystems;Neoplasm of uncertain behavior of brain and central nervous system;4
D44;Neubildung unsicheren oder unbekannten Verhaltens der endokrinen Drüsen;Neoplasm of uncertain behavior of endocrine glands;4
D45;Polycythaemia vera;Polycythemia vera;4
D46;Myelodysplastische Syndrome;Myelodysplastic syndromes;1
D47;Sonstige Neubildungen unsicheren oder unbekannten Verhaltens des lymphatischen, blutbildenden und verwandten Gewebes;Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue;4
D48;Neubildung unsicheren oder unbekannten Verhaltens an sonstigen und nichtnäher bezeichneten Lokalisationen;Neoplasm of uncertain behavior of other and unspecified sites;3
D49;;Neoplasms of unspecified behavior;
D50;Eisenmangelanämie;Iron deficiency anemia;5
D51;Vitamin-B12-Mangelanämie;Vitamin B12 deficiency anemia;1
D52;Folsäure-Mangelanämie;Folate deficiency anemia;1
D53;Sonstige alimentäre Anämien;Other nutritional anemias;4
D55;Anämie durch Enzymdefekte;Anemia due to enzyme disorders;4
D56;Thalassämie;Thalassemia;5
D57;Sichelzellenkrankheiten;Sickle-cell disorders;4
D58;Sonstige hereditäre hämolytische Anämien;Other hereditary hemolytic anemias;4
D59;Erworbene hämolytische Anämien;Acquired hemolytic anemia;4
D60;Erworbene isolierte aplastische Anämie [Erythroblastopenie] [pure red cell aplasia];Acquired pure red cell aplasia [erythroblastopenia];4
D61;Sonstige aplastische Anämien;Other aplastic anemias and other bone marrow failure syndromes;4
D62;Akute Blutungsanämie;Acute posthemorrhagic anemia;1
D63;Anämie bei chronischen, anderenorts klassifizierten Krankheiten;Anemia in chronic diseases classified elsewhere;1
D64;Sonstige Anämien;Other anemias;1
D65;Disseminierte intravasale Gerinnung [Defibrinationssyndrom];Disseminated intravascular coagulation [defibrination syndrome];4
D66;Hereditärer Faktor-VIII-Mangel;Hereditary factor VIII deficiency;4
D67;Hereditärer Faktor-IX-Mangel;Hereditary factor IX deficiency;0
D68;Sonstige Koagulopathien;Other coagulation defects;1
D69;Purpura und sonstige hämorrhagische Diathesen;Purpura and other hemorrhagic conditions;1
D70;Agranulozytose und Neutropenie;Neutropenia;4
D71;Funktionelle Störungen der neutrophilen Granulozyten;Functional disorders of polymorphonuclear neutrophils;4
D72;Sonstige Krankheiten der Leukozyten;Other disorders of white blood cells;4
D73;Krankheiten der Milz;Diseases of spleen;4
D74;Methämoglobinämie;Methemoglobinemia;
D75;Sonstige Krankheiten des Blutes und der blutbildenden Organe;Other and unspecified diseases of blood and blood-forming organs;4
